DB,Site,Name,Lat,Long,Elevation ,Type,Shoreline_Elevation_Type,Interp,Preferred,Continuous_Discontinuous,Locations_cores,Citation
131,128,Hackberry Lake,42.56,-100.664,890,2,Rel,1,Y,C,,Wright et al. (1985); Sears (1961)
132,129,Helmetta Bog,40.23,-74.43,60,2,Rel,1,Y,C,,Watts (1979)
133,130,Herring Pond,41.96,-70.01,1,2,Rel,1,Y,C,,Winkler and Sanford (1995)
134,131,Higgins Pond,41.96,-70.01,1,2,Rel,1,Y,C,,Winkler and Sanford (1995)
135,132,Houghton's Bog,42.32,-78.4,595,2,Rel,1,Y,C,,Miller (1973)
136,133,Isle Lake,53.63333333,-114.6833333,730,2,Rel,1,Y,C,1,Schweger & Hickman (1989)
137,134,Joseph Lake,53.28333333,-113.0666667,760,2,Rel,1,Y,C,1,Schweger & Hickman (1989)
138,135,Lac Dufresne,45.85,-70.35,650,2,Rel,1,Y,C,,Mott (1977)
139,136,Lac Saint Anne,53.73333333,-114.5333333,750,2,Rel,1,Y,C,1,Schweger & Hickman (1989)
140,137,Lake Annie,27.3,-81.4,20,2,Rel,1,Y,C,,Watts (1975); Harrison (1988)
141,138,Langdale Pond,30.38,-83.11,25,2,Rel,1,Y,C,,Grimm (unpub) in NAPD
142,139,Lawyers Bog,40.85,-75.03,110,2,Rel,1,Y,C,1,Webb (1990)/Cotter (1983)
143,140,Longhauser Pond,39.38,-75.68,15,2,Rel,1,Y,C,,Webb (1990)
144,141,Longswamp,40.48,-75.67,270,2,Rel,1,Y,C,,Watts (1979)
145,142,Lower Basin Pond (Maine),45.93,-68.9,900,2,Rel,1,Y,C,,Davis and Davis (1980)
146,143,Lynn Lake (Manitoba),56.83333333,-101.05,335,2,Rel,1,Y,C,1,Nichols (1967)
147,144,Mitchell Farm Site,39.8,-75.67,90,2,Rel,1,Y,C,,Webb (1990)
148,145,Mud Lake,29.3,-81.87,10,2,Rel,1,Y,C,,Watts (1969)
149,146,Muscotah Marsh,39.53,-95.51,310,2,Rel,1,Y,C,,Gruger (1973)
150,147,Muskiki Lake,52.85,-116.8833333,1550,2,Rel,1,Y,C,1,Schweger & Hickman (1989)
151,148,Muskrat Lake Bog,53.36666667,-114.55,760,2,Rel,1,Y,C,1,Schweger & Hickman (1989)
152,149,Nowakowski Pond,39.39,-75.68,20,2,Rel,1,Y,C,,Webb (1990)
153,150,Panther Run Pond,40.8,-77.42,550,2,Rel,1,Y,C,,Watts (1979)
154,151,Paynter Marsh,44.1,-78.33,190,2,Rel,1,Y,C,,Yu et al. (1996)
155,152,Pequot Cedar Swamp,41.4,-71.97,25,2,Rel,1,Y,C,7,Webb (1990)
156,153,Potato Lake,34.46,-111.35,2225,2,Rel,1,Y,C,3,Anderson (1993)
157,154,Potts Mountain Pond,37.6,-80.1,625,2,Rel,1,Y,C,,Watts (1979); Webb and Webb (1988)
158,155,Prison Pond,39.34,-75.61,15,2,Rel,1,Y,C,,Webb (1990)
159,156,Red Lady Fen,38.88,-107.04,3300,2,Rel,1,Y,C,2,Fall (1998)
160,157,Red Maple Swamp,41.36,-72.12,40,2,Rel,1,Y,C,,Beetham and Niering (1961)
161,158,Red Well,38.89,-107.05,3600,2,Rel,1,Y,C,,Fall (1998)
162,159,Rose Lake,41.9,-77.9,670,2,Rel,1,Y,C,,Cotter and Crowl 1981
163,160,Round Lake (Nebraska),42.43,-101.6,1075,2,Rel,1,Y,C,,Schmieder et al. (2011)
164,161,Scott Lake,27.95,-81.97,45,2,Rel,1,Y,C,,Watts (1971)
165,162,Smallboy Lake,53.58,-114.13,765,2,Rel,1,Y,C,,Vance et al. (1983)
166,163,South Maple Lake (Parker's Prairie),46.17,-95.23,435,2,Rel,1,Y,C,,Steventon&Kutzbach (1986); Steventon&Kutzbach (1987); Digerfeldt et al. (1992)
167,164,Swan Lake - East,42.16,-99.03,705,2,Rel,1,Y,C,,Schmieder et al. (2011)
168,165,Szabo Pond,40.4,-74.48,30,2,Rel,1,Y,C,,Watts (1979)
169,166,Thorsby Bog,53.23333333,-114.0333333,745,2,Rel,1,Y,C,1,Schweger & Hickman (1989)
170,167,Thunder Lake,52.83333333,-116.6666667,1515,2,Rel,1,Y,C,1,Schweger & Hickman (1989)
171,168,Walters Puddle,39.38,-75.68,15,2,Rel,1,Y,C,,Webb (1990)
172,169,West Twin Lake (Nebraska),42.4,-101.44,1045,2,Rel,1,Y,C,,Schmieder et al. (2011; 2013)
173,170,"Williams Pond (Cape Cod, Massachusetts)",41.97,-70.01,1,2,Rel,1,Y,C,,Winkler and Sanford (1995)
174,171,Bear Lake,36.37,-112.15,2780,3,Rel,1,Y,C,,Chengyu and Jackson (1999)
175,172,Ceylon Lake,49,-104.06,660,3,Rel,1,Y,C,,Last (1990)
176,173,Clearwater Lake (Saskatchewan),50.87,-107.93,680,3,Rel,1,Y,C,1,Last et al (1998)
177,174,Cottonwood Pass Pond,38.83,-106.41,3675,3,Rel,1,Y,C,,Fall (1998)
178,175,Dyer Pond,41.94,-70.01,1,3,Rel,1,Y,C,,Winkler and Sanford (1995)
179,176,"Fish Creek Park, Park Pond 3",43.46,-109.92,2740,3,Rel,1,Y,C,1,Lynch (1998)
180,177,Gerry Lake,53.65,-121.51,920,3,Rel,1,Y,C,,Gavin et al. (2009)
181,178,Graham Lake,46.45,-92.46,330,3,Rel,1,Y,C,,Plank and Shuman (unpub)
182,179,Great Pond Wellfleet,41.94,-69.99,1,3,Rel,1,Y,C,,Winkler and Sanford (1995)
183,180,Gull Pond,41.96,-70.01,1,3,Rel,1,Y,C,,Winkler and Sanford (1995)
